artist;artistIds;asciiName;attractionLights;availability;boosterTypes;borderColor;cardParts;colorIdentity;colorIndicator;colors;defense;duelDeck;edhrecRank;edhrecSaltiness;faceConvertedManaCost;faceFlavorName;faceManaValue;faceName;finishes;flavorName;flavorText;frameEffects;frameVersion;hand;hasAlternativeDeckLimit;hasContentWarning;hasFoil;hasNonFoil;isAlternative;isFullArt;isFunny;isOnlineOnly;isOversized;isPromo;isRebalanced;isReprint;isReserved;isStarter;isStorySpotlight;isTextless;isTimeshifted;keywords;language;layout;leadershipSkills;life;loyalty;manaCost;manaValue;name;number;originalPrintings;originalReleaseDate;originalText;originalType;otherFaceIds;power;printings;promoTypes;rarity;rebalancedPrintings;relatedCards;securityStamp;setCode;side;signature;subsets;subtypes;supertypes;text;toughness;type;types;uuid;variations;watermark
Justin Sweet;bb15780e-8f96-4823-b258-a7a9fd79b02c;;;mtgo, paper;default;black;;W;;W;;;16139.0;;;;;;nonfoil;;;;2003;;;;0;1;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{3}{W};4.0;Aven Cloudchaser;7;;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser comes into play, destroy target enchantment.;Creature - Bird Soldier;;2;10E, 8ED, 9ED, ODY;;common;;;;10E;;;;Bird, Soldier;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment.;2;Creature — Bird Soldier;Creature;8ac972b5-9f6e-5cc8-91c3-b9a40a98232e;6adaf14d-43e3-521a-adf1-960c808e5b1a;
Justin Sweet;bb15780e-8f96-4823-b258-a7a9fd79b02c;;;mtgo, paper;default;black;;W;;W;;;16139.0;;;;;;foil;;"""At the Reapportionment, Eagle begged to be human. The Ancestor granted half that prayer.""\n—Nomad myth";;2003;;;;1;0;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{3}{W};4.0;Aven Cloudchaser;7★;;;;;;2;10E, 8ED, 9ED, ODY;;common;;;;10E;;;;Bird, Soldier;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment.;2;Creature — Bird Soldier;Creature;6adaf14d-43e3-521a-adf1-960c808e5b1a;8ac972b5-9f6e-5cc8-91c3-b9a40a98232e;
Matthew D. Wilson;4fbafd13-0cf9-42a1-870d-7f8ea276f140;;;mtgo, paper;default;black;;W;;W;;;17071.0;0.2;;;;;nonfoil, foil;;The perfect antidote for a tightly packed formation.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{W};4.0;Ballista Squad;8;;;{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.;Creature - Human Rebel;;2;10E, 9ED, MMQ;;uncommon;;;;10E;;;;Human, Rebel;;{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.;2;Creature — Human Rebel;Creature;a69b404f-144a-5317-b10e-7d9dce135b24;;
Rebecca Guay;f8f662fa-d597-46a3-afb2-91d6e13243e2;;;mtgo, paper;default;black;;W;;W;;;6716.0;;;;;;nonfoil, foil;;Life is measured in inches. To a healer, every one of those inches is precious.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Bandage;9;;;Prevent the next 1 damage that would be dealt to target creature or player this turn.\nDraw a card.;Instant;;;10E, STH, TPR;;common;;;;10E;;;;;;Prevent the next 1 damage that would be dealt to any target this turn.\nDraw a card.;;Instant;Instant;6d268c95-c176-5766-9a46-c14f739aba1c;;
Rob Alexander;35906871-6c78-4ab2-9ed1-e6792c8efb74;;;mtgo, paper;default;black;;W;;W;;;3189.0;0.24;;;;;nonfoil, foil;;The cave floods with light. A thousand rays shine forth and meld into one.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{5}{W};6.0;Beacon of Immortality;10;;;Double target player's life total. Shuffle Beacon of Immortality into its owner's library.;Instant;;;10E, 5DN, E02, MB1;;rare;;;;10E;;;;;;Double target player's life total. Shuffle Beacon of Immortality into its owner's library.;;Instant;Instant;56f4935b-f6c5-59b9-88bf-9bcce20247ce;;
Zoltan Boros & Gabor Szikszai;1885e6cb-c827-4896-994e-3d0a027d602f, 44c3877f-8771-43dc-9e40-f4c765f59d2e;;;mtgo, paper;default;black;;W;;W;;;18677.0;;;;;;nonfoil;;"""We called them 'armored lightning.'""\n—Gerrard of the *Weatherlight*";;2003;;;;0;1;;;;;;;;1.0;;;;;;First strike, Flash;English;normal;;;;{2}{W};3.0;Benalish Knight;11;;;Flash (You may play this spell any time you could play an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.);Creature - Human Knight;;2;10E, ATH, WTH;;common;;;;10E;;;;Human, Knight;;Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.);2;Creature — Human Knight;Creature;62365fbb-af07-5c2a-976d-e3092bdfc317;0d2a4e1d-cc12-5675-8044-9a7bc7d60050;
Zoltan Boros & Gabor Szikszai;1885e6cb-c827-4896-994e-3d0a027d602f, 44c3877f-8771-43dc-9e40-f4c765f59d2e;;;mtgo, paper;default;black;;W;;W;;;18677.0;;;;;;foil;;"""We called them 'armored lightning.'""\n—Gerrard of the *Weatherlight*";;2003;;;;1;0;;;;;;;;1.0;;;;;;First strike, Flash;English;normal;;;;{2}{W};3.0;Benalish Knight;11★;;;;;;2;10E, ATH, WTH;;common;;;;10E;;;;Human, Knight;;Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.);2;Creature — Human Knight;Creature;0d2a4e1d-cc12-5675-8044-9a7bc7d60050;62365fbb-af07-5c2a-976d-e3092bdfc317;
Steven Belledin;f07d73b9-52a0-4fe5-858b-61f7b42174a5;;;mtgo, paper;default;black;;W;;W;;;13403.0;0.04;;;;;nonfoil, foil;;"""Mercadia's masks can no longer hide the truth. Our day has come at last.""";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;{'brawl': False, 'commander': True, 'oathbreaker': False};;;{2}{W}{W};4.0;Cho-Manno, Revolutionary;12;;;Prevent all damage that would be dealt to Cho-Manno, Revolutionary.;Legendary Creature - Human Rebel;;2;10E, MMQ, PS11;;rare;;;;10E;;;;Human, Rebel;Legendary;Prevent all damage that would be dealt to Cho-Manno, Revolutionary.;2;Legendary Creature — Human Rebel;Creature;81daea6a-2735-5a46-a2da-b65a2ad5738f;;
Daren Bader;7da1a585-c875-45e4-b322-5da9e8e1f651;;;mtgo, paper;default;black;;W;;W;;;2974.0;0.21;;;;;nonfoil, foil;;"""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""\n—Alovnek, Boros guildmage";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Condemn;13;;;Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.;Instant;;;10E, C14, C17, CMR, DDL, DIS, M11, P07, PRM, PS11, SCD, TD0, TD2, ZNC;;uncommon;;;;10E;;;;;;Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.;;Instant;Instant;7fef665c-36a1-5f7a-9299-cf8938708710;;
Christopher Rush;c96773f0-346c-4f7d-9271-2d98cc5d86e1;;;mtgo, paper;default;black;;W;;W;;;12297.0;0.22;;;;;nonfoil, foil;;"""Illusion is a crutch for those with no grounding in reality.""\n—Cho-Manno";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Demystify;14;;;Destroy target enchantment.;Instant;;;10E, 8ED, 9ED, M12, ONS, ROE, XLN;;common;;;;10E;;;;;;Destroy target enchantment.;;Instant;Instant;2f9c211e-1869-5b3f-94ea-f73b7910a5af;;
Stephen Tappin;bb596c13-9c39-4b11-8a7b-c88944826e70;;;mtgo, paper;default;black;;W;;W;;;6481.0;;;;;;nonfoil;;He is the only one who sees the patterns in the overlapping maps and conflicting reports.;;2003;;;;0;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{W}{W};3.0;Field Marshal;15;;;Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.);Creature - Human Soldier;;2;10E, CSP, SLD;;rare;;;;10E;;;;Human, Soldier;;Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.);2;Creature — Human Soldier;Creature;668c64a2-cecb-5f48-af16-d7a64814d3e7;6d6a31d5-a80b-5f31-9b46-2c2083a95581;
Stephen Tappin;bb596c13-9c39-4b11-8a7b-c88944826e70;;;mtgo, paper;default;black;;W;;W;;;6481.0;;;;;;foil;;He is the only one who sees the patterns in the overlapping maps and conflicting reports.;;2003;;;;1;0;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{W}{W};3.0;Field Marshal;15★;;;;;;2;10E, CSP, SLD;;rare;;;;10E;;;;Human, Soldier;;Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.);2;Creature — Human Soldier;Creature;6d6a31d5-a80b-5f31-9b46-2c2083a95581;668c64a2-cecb-5f48-af16-d7a64814d3e7;
Ittoku;d3a47c28-84e9-4b53-a236-5066ae1bb62f;;;mtgo, paper;default;black;;W;;W;;;23466.0;0.09;;;;;nonfoil, foil;;"""I thought of fate as an iron lattice, intricate but rigidly unchangeable. That was until some force bent fate's bars to spare my life.""\n—Ilromov, traveling storyteller";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{W};2.0;Ghost Warden;16;;;{T}: Target creature gets +1/+1 until end of turn.;Creature - Spirit;;1;10E, GPT;;common;;;;10E;;;;Spirit;;{T}: Target creature gets +1/+1 until end of turn.;1;Creature — Spirit;Creature;d68306e2-9877-5987-84b3-12b8234c8eec;;
Kev Walker;f366a0ee-a0cd-466d-ba6a-90058c7a31a6;;;mtgo, paper;default;black;;W;;W;;;3932.0;0.05;;;;;nonfoil, foil;;Once heard, the battle song of an angel becomes part of the listener forever.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{W}{W};3.0;Glorious Anthem;17;;;Creatures you control get +1/+1.;Enchantment;;;10E, 7ED, 8ED, 9ED, M21, PJAS, PJJT, PJSE, PM21, PRM, PS11, PSUS, USG;;rare;;;;10E;;;;;;Creatures you control get +1/+1.;;Enchantment;Enchantment;546eac7c-1424-597d-ac13-bf8558e88fe3;;
Anthony S. Waters;f009de11-3c8d-4663-b996-ca0c3e997fad;;;mtgo, paper;default;black;;W;;W;;;16998.0;;;;;;nonfoil, foil;;"""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""\n—General Takeno";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{X}{W};1.0;Hail of Arrows;18;;;Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.;Instant;;;10E, CN2, SOK;;uncommon;;;;10E;;;;;;Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.;;Instant;Instant;c19bcfc2-fc10-5040-8239-1c193098df47;;
Luca Zontini;aa57d42a-72c1-4d94-a200-3571233c4b20;;;mtgo, paper;default;black;;W;;W;;;20596.0;0.07;;;;;nonfoil;;;;2003;;;;0;1;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{2}{W};3.0;Heart of Light;19;;;Enchant creature (Target a creature as you play this. This card comes into play attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.;Enchantment - Aura;;;10E, BOK;;common;;;;10E;;;;Aura;;Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.;;Enchantment — Aura;Enchantment;36fcaa1e-64e3-56e3-950c-907db167e41f;08548840-8e62-5fed-b432-f2a5a0cb5f4e;
Luca Zontini;aa57d42a-72c1-4d94-a200-3571233c4b20;;;mtgo, paper;default;black;;W;;W;;;20596.0;0.07;;;;;foil;;For those who reach enlightenment, violence is an unnecessary distraction.;;2003;;;;1;0;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{2}{W};3.0;Heart of Light;19★;;;;;;;10E, BOK;;common;;;;10E;;;;Aura;;Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.;;Enchantment — Aura;Enchantment;08548840-8e62-5fed-b432-f2a5a0cb5f4e;36fcaa1e-64e3-56e3-950c-907db167e41f;
rk post;81ae0f3f-1d88-4125-9aeb-b15b4c734c82;;;mtgo, paper;default;black;;W;;W;;;15646.0;0.12;;;;;nonfoil, foil;;In war, as in society, position is everything.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;High Ground;20;;;Each creature you control can block an additional creature.;Enchantment;;;10E, EXO, PLIST;;uncommon;;;;10E;;;;;;Each creature you control can block an additional creature each combat.;;Enchantment;Enchantment;60f49caf-3583-5f85-b4b3-08dca73a8628;;
Volkan Baǵa;93bec3c0-0260-4d31-8064-5d01efb4153f;;;mtgo, paper;default;black;;W;;W;;;7172.0;0.25;;;;;nonfoil, foil;;"""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow.""\n—Karrim, Samite healer";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Holy Day;21;;;Prevent all combat damage that would be dealt this turn.;Instant;;;10E, 8ED, 9ED, INV, LEG, PS11;;common;;;;10E;;;;;;Prevent all combat damage that would be dealt this turn.;;Instant;Instant;02e23fa1-b2f0-528c-b331-12a0c27bc5eb;;
Terese Nielsen;eb55171c-2342-45f4-a503-2d5a75baf752;;;mtgo, paper;default;black;;W;;W;;;16343.0;;;;;;nonfoil;;;;2003;;;;0;1;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{W};1.0;Holy Strength;22;;;Enchant creature (Target a creature as you play this. This card comes into play attached to that creature.)\nEnchanted creature gets +1/+2.;Enchantment - Aura;;;10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 7ED, 8ED, 9ED, CED, CEI, FBB, LEA, LEB, M10, M11, PS11, SUM;;common;;;;10E;;;;Aura;;Enchant creature\nEnchanted creature gets +1/+2.;;Enchantment — Aura;Enchantment;4e4cbdec-e2d4-5f31-98a3-f2ef052c849d;79996e77-112f-51e8-980c-0ec82f2d7754;
Terese Nielsen;eb55171c-2342-45f4-a503-2d5a75baf752;;;mtgo, paper;default;black;;W;;W;;;16343.0;;;;;;foil;;"""May angels fly at your back. May your blade cleave the darkness.""\n—War blessing of Serra";;2003;;;;1;0;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{W};1.0;Holy Strength;22★;;;;;;;10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 7ED, 8ED, 9ED, CED, CEI, FBB, LEA, LEB, M10, M11, PS11, SUM;;common;;;;10E;;;;Aura;;Enchant creature\nEnchanted creature gets +1/+2.;;Enchantment — Aura;Enchantment;79996e77-112f-51e8-980c-0ec82f2d7754;4e4cbdec-e2d4-5f31-98a3-f2ef052c849d;
Dan Dos Santos;9b55c657-5b5b-4152-a6e2-51180517bfa9;;;mtgo, paper;default;black;;W;;W;;;23489.0;;;;;;nonfoil, foil;;The strength of one. The courage of ten.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Honor Guard;23;;;{W}: Honor Guard gets +0/+1 until end of turn.;Creature - Human Soldier;;1;10E, 7ED, 8ED, 9ED, STH;;common;;;;10E;;;;Human, Soldier;;{W}: Honor Guard gets +0/+1 until end of turn.;1;Creature — Human Soldier;Creature;9bee1901-1125-5635-9e22-3b4f37989c37;;
Stephen Tappin;bb596c13-9c39-4b11-8a7b-c88944826e70;;;mtgo, paper;default;black;;W;;W;;;24924.0;;;;;;nonfoil, foil;;Grelden knelt and felt the cool, dry hand of the priest on his brow. Hours later, when his wits returned, he was covered in his enemies' blood on the field of victory.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Icatian Priest;24;;;{1}{W}{W}: Target creature gets +1/+1 until end of turn.;Creature - Human Cleric;;1;10E, DDC, DVD, FEM;;uncommon;;;;10E;;;;Human, Cleric;;{1}{W}{W}: Target creature gets +1/+1 until end of turn.;1;Creature — Human Cleric;Creature;cb865391-5b14-58ce-aa99-b36b83e6377f;;
Carl Critchlow;17948f16-611a-44b8-8d10-9895a0bdfff1;;;mtgo, paper;default;black;;W;;W;;;20791.0;0.12;;;;;nonfoil, foil;;Upon the frozen tundra stand the Kjeldoran Royal Guard, pikes raised, with the king's oath upon their lips.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{W}{W};5.0;Kjeldoran Royal Guard;25;;;{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.;Creature - Human Soldier;;2;10E, 5ED, 6ED, 7ED, ICE;;rare;;;;10E;;;;Human, Soldier;;{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.;5;Creature — Human Soldier;Creature;bb6e511d-3e7f-5dd3-b40c-dbeb09c734f7;;
Randy Gallegos;a5048cc7-438a-4378-98e4-da99b78e1db0;;;mtgo, paper;default;black;;W;;W;;;19960.0;0.04;;;;;nonfoil, foil;;Elder mystics take their vow of silence so seriously that they impose it on any who enter their presence.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{W}{W};5.0;Loxodon Mystic;26;;;{W}, {T}: Tap target creature.;Creature - Elephant Cleric;;3;10E, DST;;common;;;;10E;;;;Elephant, Cleric;;{W}, {T}: Tap target creature.;3;Creature — Elephant Cleric;Creature;73e8c198-4ba4-5f42-9781-167150eae4be;;
Michael Sutfin;5ce7b3bd-53d2-49e6-b504-37191e8e9b17;;;mtgo, paper;default;black;;W;;W;;;14621.0;0.15;;;;;nonfoil, foil;;"""My cause is simple: To stop you, at any cost, from ever seeing the inside of this keep.""";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Loyal Sentry;27;;;When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.;Creature - Human Soldier;;1;10E, A25, DDF, MB1, S99;;rare;;;;10E;;;;Human, Soldier;;When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.;1;Creature — Human Soldier;Creature;3f809288-0eaa-5f55-8144-483ed8ea810c;;
Daren Bader;7da1a585-c875-45e4-b322-5da9e8e1f651;;;mtgo, paper;default;black;;W;;W;;;23847.0;0.14;;;;;nonfoil, foil;;"""The White Shield is not the burnished metal you lash to your forearm but the conviction that burns in your chest.""\n—Lucilde Fiksdotter, leader of the Order of the White Shield";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{W};1.0;Luminesce;28;;;Prevent all damage that black sources and red sources would deal this turn.;Instant;;;10E, CSP;;uncommon;;;;10E;;;;;;Prevent all damage that black sources and red sources would deal this turn.;;Instant;Instant;efe6103c-6a3e-5ed0-a689-81a2efe4273b;;
Carl Critchlow;17948f16-611a-44b8-8d10-9895a0bdfff1;;;mtgo, paper;default;black;;W;;W;;;6933.0;;;;;;nonfoil;;Wars are won with strength, valor, and numbers—especially numbers.;;2003;;;;0;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{W};3.0;Mobilization;29;;;Soldier creatures have vigilance. (Attacking doesn't cause them to tap.)\n{2}{W}: Put a 1/1 white Soldier creature token into play.;Enchantment;;;10E, C14, ONS;;rare;;;;10E;;;;;;Soldier creatures have vigilance.\n{2}{W}: Create a 1/1 white Soldier creature token.;;Enchantment;Enchantment;7f1bea50-20c0-51b3-8b2a-ac60f5d31133;1afcbee1-1310-5144-86ea-e7bf0fb34d2b;
